Session_ID,Fecha,Dia_Semana,Hora,Dispositivo,Duracion_Min,Articulos_Agregados,Categoria,Valor_Carrito_MXN,Punto_Abandono,Precio_vs_Competencia_Pct,Slot_Entrega_Disponible,Es_Recurrente,Resultado
S075,2024-11-12,Martes,09:00,Desktop,8.0,10,Despensa,1520.00,Completado,+1,Si,Si,Compra
S076,2024-11-12,Martes,12:00,Movil,3.6,5,Limpieza,680.00,Completado,-2,Si,Si,Compra
S077,2024-11-12,Martes,15:30,Movil,4.8,7,Despensa,1040.00,Seleccion_Entrega,+6,No,No,Abandono
S078,2024-11-12,Martes,18:00,Movil,5.5,9,Despensa,1390.00,Completado,0,Si,Si,Compra
S079,2024-11-12,Martes,21:00,Movil,3.0,4,Frutas_Verduras,520.00,Carga_Pagina,+3,Si,No,Abandono
S080,2024-11-13,Miercoles,08:30,Desktop,6.9,8,Despensa,1170.00,Completado,+1,Si,Si,Compra
S081,2024-11-13,Miercoles,11:00,Movil,4.2,6,Despensa,860.00,Completado,-1,Si,No,Compra
S082,2024-11-13,Miercoles,14:00,Movil,3.5,5,Bebidas,590.00,Resumen_Pago,+13,Si,No,Abandono
S083,2024-11-13,Miercoles,17:00,Movil,5.0,8,Despensa,1200.00,Seleccion_Entrega,+5,No,Si,Abandono
S084,2024-11-13,Miercoles,20:00,Movil,6.5,11,Cuidado_Personal,1630.00,Completado,0,Si,Si,Compra
S085,2024-11-14,Jueves,07:30,Desktop,7.4,9,Despensa,1310.00,Completado,+1,Si,Si,Compra
S086,2024-11-14,Jueves,10:00,Movil,4.0,6,Despensa,880.00,Completado,-1,Si,No,Compra
S087,2024-11-14,Jueves,13:30,Movil,3.7,5,Limpieza,710.00,Carrito,+2,Si,No,Abandono
S088,2024-11-14,Jueves,16:00,Movil,5.3,8,Despensa,1150.00,Completado,+2,Si,Si,Compra
S089,2024-11-14,Jueves,19:30,Movil,4.6,7,Despensa,1060.00,Seleccion_Entrega,+6,No,Si,Abandono
S090,2024-11-15,Viernes,09:00,Desktop,8.5,12,Despensa,1780.00,Completado,+2,Si,Si,Compra
S091,2024-11-15,Viernes,12:00,Movil,3.9,5,Frutas_Verduras,640.00,Completado,-2,Si,No,Compra
S092,2024-11-15,Viernes,14:30,Movil,4.3,7,Despensa,1020.00,Resumen_Pago,+14,Si,No,Abandono
S093,2024-11-15,Viernes,18:00,Movil,5.6,9,Despensa,1410.00,Seleccion_Entrega,+7,No,Si,Abandono
S094,2024-11-15,Viernes,20:30,Movil,6.2,10,Limpieza,1490.00,Completado,0,Si,Si,Compra
S095,2024-11-16,Sabado,08:30,Desktop,9.0,13,Despensa,2100.00,Completado,+1,Si,Si,Compra
S096,2024-11-16,Sabado,10:30,Movil,4.7,7,Despensa,1030.00,Completado,0,Si,No,Compra
S097,2024-11-16,Sabado,13:00,Movil,3.4,5,Cuidado_Personal,670.00,Resumen_Pago,+11,Si,No,Abandono
S098,2024-11-16,Sabado,15:30,Movil,5.9,9,Despensa,1360.00,Completado,+2,Si,Si,Compra
S099,2024-11-16,Sabado,18:00,Movil,4.1,6,Bebidas,780.00,Seleccion_Entrega,+4,No,No,Abandono
S100,2024-11-16,Sabado,20:30,Movil,3.0,4,Despensa,520.00,Completado,-1,Si,Si,Compra
